,tweet
24,"me, feeling depressed, disassociating, having an anxiety attack and wanting to die at this moment: i'm like TT"
25,New year's resolution #1: find a cure for nocturnal panic 😱. Somebody get me to a lab. #anxiety
26,ngl i kind of hate everything about NYE and NYE parties make me anxious af so i usually just opt to skip them #anxiety #nye2016
27,If you pretend to have anxiety/depression bc you want attention you're rlly what's wrong with this world
28,"I got good grades this semester despite my depression, stress, and anxiety for the past 6 months"
29,"@Jaclynhill please Im desperate. Whats the brand u use 4 anxiety from the natural store. I'm fighting liver disease, fibro and panic attacks"
30,that's pretty much my life dealing with depression and anxiety I've been dealing with them for almost 7 years now
31,"I am capitalism and when you are feeling anxious, go to watch a film and I'll rub your anxiety away."
32,"day 5 : anxiety, panic attacks and self harming"
33,"i'm so open about my anxiety but the minute i get anxious, i'm suddenly begging for attention ???"
34,Home alone and no sleep anxiety sky high oh bugger
35,"Cuddling literally kills depression, relieves anxiety and strengthens the immune system. Get it? #HappyFriday"
36,2016...I will never ever ever miss you in my entire life.. a year of fucking breakdowns nightmares depression and anxiety
37,"I did not let my anxiety and depression beat me, so I will definitely not allow the stigma that surrounds my condition even bother me now"
38,I had a mild anxiety attack bc I ate rly spicy salsa & thought I might be allergic to it. If that doesn't tell u how sad I am idk what will
39,My worst fear is dying alone or not being loved .. im sick of crying over possibilities. I hate having anxiety so much
40,urgh phone anxiety is the worst.  I struggle making calls but I'm fine receiving them. Make sense of that one?!
41,Stop speaking anxiety and depression over your life.
42,my goal for 2017 is to raise awareness for depression and anxiety and to find help for people
43,*gets anxious trying to explain anxiety to someone*
44,Ya know what's worse than having depression or anxiety? Having both.
45,finally made progress with treatment for my depression & anxiety after struggling for 4 years and being forgotten by the NHS 😓
46,Living with depression and anxiety honestly is shit. Some days I'll have no anxiety attacks but my mood will be low or sometimes it's both 😑
47,"• be able to do the things anxiety has kept me from doing over the past 3 years and feel normal, no dread/fear #anxiety #socialanxiety"
48,J is trying to get me into yoga. Hot yoga. My anxiety about having my body exposed in a room full of sweaty strangers is loooving this.
49,"Me when i am not anxious: oh weird, i am super calm rn Me after a few minutes : *is anxious bc i didnt have anxiety for 2 minutes *"
50,"0000 win over my anxiety, stop having panic attacks and stop self harming"
51,My anxiety has been the worst ever lately. I worry about everything. If i sleep i don't worry
52,being anxious ≠ having an anxiety disorder   sadness ≠ depression  if you want to self diagnose... don't.
53,Can we leave crippling depression/anxiety memes in like 2014
54,I have so much anxiety about being home alone without my dog it's ridiculous
55,"Was housebound 4 16 yrs. Still struggle w/agoraphobia, anxiety & depression. Make point of going out everyday."
56,depressed pain hurt anxiety scared 😔
57,My phone keeps getting anxiety that's Im not in Connecticut at the moment & Maps keep reminding me how far away I am from Hamden #sadtweet
58,"It can definitely get a bit much after a while, but someone so consistently anxious like that might suffer from separation anxiety."
59,I've suffered from depression and anxiety for over 10 years and I just started therapy this year! #InHonorOfCarrie
60,Smhhhh I was afraid that would happen to me the other night so I just kept my mouth by it and eyes closed smh. My anxiety happens always. 😭
61,If you don't't have depression and anxiety then you won't understand..
62,"Writing really is rewriting...and patience and discipline and despair and anxiety and insecurity and fear and failure, but mostly rewriting."
63,"When I first meet somebody, it's mostly panic, anxiety, and a great deal of sweating."
64,Beat my anxiety and depression
65,"I didn't throw baby (Jesus) out with the bathwater. I simply drained fear, anxiety, control, self-condemnation, and disconnectedness."
66,"Soo... Another night, another 6 hours of struggling to get to sleep, worrying over my family members  yay for anxiety"
67,#InHonorOfCarrie Taking medication to treat my depression and anxiety doesn't mean I'm not trying hard enough to fight my mental illness.
68,"If you are ever experiencing fear, anxiety, depression, whatever, take it up with God."
69,well broken asf not love but bc of depression and anxiety.
70,hate the glorification of things like anxiety and depression that this generation of girls have been using for attention
71,I am going to deal with this crippling anxiety & spiraling black hole of depression by eating a big steak & watching @RiffTrax.
72,sad with  anxiety
73,He walked back into my life when everyone else left because I was too sad to be around. He loved me through my anxiety. That's my 2016.
74,I really want to do this to help give a personal perspective on what it's like to deal w anxiety/depression on a daily basis —
75,Maybe in 2016 my anxiety and depression will die too
76,its so painful being an introvert w anxiety bc i spend my life wanting to be alone then when i acc am my brain's like 👏🏽Welcome👏🏽To👏🏽Hell👏🏽
77,"If you trade authenticity for safety u may suffer anxiety, depression, eating disorders, addiction, rage, blame, resentment&grief"
78,"me seeing i have tumblr dms: panic, fear, anxiety me seeing it's from lauren: relief, love, comfort,"
79,Idk how many of you have played the last of us but the hotel basement.... that just gave me anxiety and fear of the dark.  -_-
80,why cant life ever let me be happy without my depression and anxiety keep coming back its like an endless cycle and im sick of it
81,Today i'm just fluctuating between moments of intense anxiety/panic and then moments of 'can i just be a potato'. TT
82,"Really tho, ""oh you are depressed, have insane anxiety, self hatred and are suicidal, but why aren't you out working your ass off?"""
83,"When your crippling depression, anxiety and self hatred to the point of beein suicidal, it's a good enough reason to get help."
84,because we are millennial with bad anxiety and depression and we are filled with stress of being something we aren't
85,I can't watch movies that make me anxious while drawing or else I'll always imprint that anxiety onto the finished image.
86,Idk bout anyone else but I love to be alone lol it feeds into my depression n anxiety and I get worse but it feels great to be alone lol
87,"Here a certain Nietzscheanism operates 2 defuse anxiety & even fear: teh conviction, which R not of teh cities of these nations."
88,"On a related note, I am learning right now that coffee and anxiety are a dangerous combination"
89,- version of myself. Englufed in a world of anxiety and depression.
90,"I know I cannot walk into the new year with negative thoughts, fear and anxiety.  Actively had to immerse myself in God's Word."
91,Teach you daughters the value of self worth so they won't grow up insecure and consumed with depression and anxiety.
92,"ohno, evening anxiety and panic :((("
93,"i hate how i know logically, that there's no need to be so anxious yet i can still be 5 seconds away from an anxiety attack like chill omg"
94,"I think cigarettes help me with anxiety and depression in a way, but that's just me. Though I need to stop, I've been smoking a lot. I can't"
95,"depression is when you don’t really care about anything. anxiety is when you care too much, and over think everything, having both is hell"
96,"depression is when you don’t really care about anything. anxiety is when you care too much, and over think everything, having both is hell"
97,"Years of therapy, meditation, and medication and Fleetwood Mac is still the best antidote to any depression or anxiety!!! Who knew?"
98,There is room for depression and anxiety in every occupation.
99,"I have quite a few people very close to me with anxiety and depression, and I would give ANYTHING to take their pain away"
100,"RT @wordsncurves People also think because you meditate, pray, read, and go to church/temple, you don't express anger or anxiety."
101,"RT PUA_DATING_TIPS: If you have approach anxiety, then you already care too much. Stop giving a fuck. She's a stranger you'll probably neve…"
102,If you judge people that actually have anxiety & depression...you're a fucking piece of shit
103,i was fear but now im good anxiety gone
104,"one to ask our patients me thinks 😉but common symptoms & their management, anxiety/ depression & breathlessness, planning 1/2"
105,"Among the important things I learned this year was that, at least for me, bouts of anxiety and depression are like emotional migraines."
106,Why do people share and post all things about depression and anxiety all over facebook? Talk about attention seeking 😴
107,— allowing anxiety and fear to deep into her blood and make her heart beat twenty times faster...  It couldn't have gotten —  [@Enliiighten]
108,- punch my anxiety/depression in the throat - be less bitter/jealous - draw more - learn to cook thats p much it.
109,"RT PUA_DATING_TIPS: If you have approach anxiety, then you already care too much. Stop giving a fuck. She's a stranger you'll probably neve…"
110,I can't even make a doctors appt. (let alone actually go if I do make one) to deal with my anxiety bc of anxiety
111,When you're invited to Ireland but you're terrified of planes and you'd probably die on one bc anxiety :(
112,I really enjoyed this episode! I've dealt with depression and social anxiety for a long time. I really appreciated how open
113,"That's how I am, but for me it's because anxiety, I worry I will bother anyone all the time, especially people I think are rad"
114,"""I paint, draw and sculpt in order to capture manifestations of anxiety and depression so I don't self-destruct"" is too broad. Like my work."
115,Knowing I can't drive either doesn't help the fact Im getting very anxious here with anxiety about knowing I can't do anything about it.
116,13) opened up about my anxiety and panic attacks
117,and give out information to your audience. Transparency creates less fear and anxiety for loved ones.
118,THIS. IS. HARD.     #BPD #recovery #depression #anxiety #endthestigma
119,anxiety or depression which is your favorite muse?
120,"Some days I'm like ""oh it would be great to get married"", other days, the very thought of it haunts & gives me stabbing & fearful anxiety"
121,"#EveryDecemberMakesMe fall deeper into depression, anxiety and incessantly intrusive thoughts as the holidays are just around the corner!"
122,Love those nights where u have super bad anxiety and can't relax let alone sleep xxx life is so great rn xx
123,"Being sick makes my anxiety spike. I don't get anxious about being sick, but it like enhances it all."
124,of me and it was bleeding a lot i had so much anxiety. i still have a scar. i was okay tho so don't worry :)
125,"I don't live. At all. My anxiety, negative thoughts, depression and the unbelievable power my mind has over me, has made of me a zombie."
126,I shouldn't worry about the things I constantly worry about... 😩😭 #anxiety
127,I'm having really bad anxiety because it's storming outside and I left my cat alone to go get groceries And he's not been himself lately
128,Mine isn't much better... And I dunno if I truly suffer from mental illness. I forget if depression and anxiety are a part of that
129,me and my sister had a really long conversation abt our upbringing and our depression/anxiety and it was very healing
130,I hate going to places alone too much anxiety for that shit
131,Back to depression and anxiety tweets had to get that one out my system.
132,Waiting for scan results is like no other anxiety...life can turn in just one sentence #scans #mbc #cancer #life #worry #anxiety #hope
133,"#EndTheStigma  by being more careful with the words ""depression"", ""panic attack"",  ""anxiety"", etc. Think before you speak."
134,"anxiety fucking sucks. you unintentionally make yourself sad, you feel alone even when you're not & sometimes you dont even know whats wrong"
135,I don't understand how I can absolutely hate being alone but at the same time have ridiculously awful social anxiety. I'm a living paradox.
136,"14. ""Facebook depression can cause anxiety and withdrawal, as well as a propensity towards engaging in risky activities."" #wsu4100"
137,so sick when your own family can't understand and accept your anxiety/panic disorders
138,"@acar321 Nope not really, I wish, I still have social anxiety and depression which sucks sometimes :/"
139,all 2016 brought was anxiety and depression
140,Work always makes me hate myself & I end up sad w anxiety all night
141,"@evilapprentice Well, cause you're sensible. The sensible people aren't the one's I mind. It's the already anxious who further fuel anxiety"
142,@Barnacules Maybe you can turn around the focus of depression & anxiety. Think about all of the terrible things that weight loss brings. :)
143,"Anxious about my depression, depressed about my anxiety"
144,"Apparently depression, anxiety and hopelessness are signs of possible violence. Cool."
145,"I cast out spirits of Stress, worry, anxiety, break downs, confusion and strife in the Name of JESUS. You have to go RIGHT NOW"
146,Is it anxiety? Idk but this YOLO method made me lot not like an anxious person and most of the times I don't regret sending whatever it was.
147,"@Luke5SOS I suffer with anxiety, depression, anoxeria and self harm and you still find away to keep me smiling!! Thank you so much!!! ✌💫💚"
148,"Just completed a medical form. Under ""Psychiatric conditions (depression/anxiety/stress)"" I put ""attorney""."
149,Social media anxiety disorder is the 3rd largest psychological disorder next to depression and alcoholism 💭 #SMAD
150,"@freebsdgirl I agree. Don't wanna know. I like the good stuff, since I suffer from depression & anxiety, but keep that bad shit to yourself."
151,Overcame a slight mental breakdown/panic attack and somehow managed to drag myself to a local concert tonight. F u anxiety/ed
152,@swift_addiction thank you! Hope the specialist is a miracle worker xD and that you beat anxiety/depression soon too!
153,If you've ever faced depression or anxiety - or know someone who has/is - I urge you to read Reasons To Stay Alive by @matthaig1 Remarkable.
154,"Got my first ticket today...also had my first heart attack, anxiety attack, panic attack and my blood pressure rose to over 200...YEAAHH😄🔫"
155,"honestly though, if you want to become a parent, imagine your child with crippling anxiety and depression."
156,"Which is funny, because even with depression and things, I never really had problems with anxiety until very recently"
157,*gets anxious on whether or not I have anxiety*
158,Talking about anxiety makes me anxious...😓
159,You know when you're anxious for something so in far ahead you shouldn't even be anxious yet because it's out of your current anxiety range?
160,anxiety// go d i'm still so sick and anxious it's 8 pm but i just want to go for a walk i just feel so !!! yELLS but i'm too SICK TO WALK
161,"im autistic, bipolar, borderline, anxious, avoidant, depressed and i hate living!!!!!!!! 👋👋✨🎉🎉🎊🎈✨✨✨✨"
162,"Still feeling depressed, anxious and violated from last night's episode of #TheWalkingDead...  #TWDFinale #TWD"
163,"""Remember? Ohh. I wouldn't do that! Remembering's dangerous. I find the past such a worrying anxious place."""
164,"As if being gay, depressed, anxious, and having an inferiority complex weren't enough. I might actually have hypersexuality disorder."
165,"Consumerism is designed to create an anxious populace, because anxiety is a powerful tool in distracting and fragmenting a person."
166,"@seqretpotion you can be anxious without anxiety, same with depression :-)"
167,When you have anxiety but you have no idea what you're anxious about is the worst.
168,I'm already an anxious person...#finals only makes my anxiety worse...especially so close to #graduation. #lawschool #businessenterprises
169,That shit depression when you looking  at young lady from the back  and body 👌 . Gotta nigga anxious to see the her face .Big butta head ah😷
170,i need a bae that is willing to take 1 day out of the week to just cuddle all day with me when I'm depressed and feeling lonely 🤕
171,"Sad? depressed? sad or depressed don't begin to explain how i'm feeling, to explain how i'm feeling you'd have to create a whole new word."
172,I'm tired of being sad and depressed
173,"@MrRickyWhittle I feel alone. I can't get out of there, and i get depressed like a stupid girl. I want to cry.. I'm sorry 😭😭"
174,I've been to 9 gigs on my own this year. Not sure whether to be impressed at my fearlessness or depressed at my lack of friends?
175,Does it count as seasonal depression if im just depressed because I'm a pale pos :)
176,shall I Snapchat my own suicide then? I'm so depressed.
177,Well love actually has left me extra depressed n lonely for New Years tomorrow xxx
178,"Okay so now you're telling people with depression to ""not be depressed"" and to ""reevaluate their choices""?"
179,literally spent all day in bed habahaha love having no friends and being depressed and anxious lol
180,"Often, people mistake sadness or being down with depressed. Emotion by itself is not enough to be deemed the latter."
181,i get why people are sad. But a fictional death isnt something to be depressed over
182,I've filled my IG full of fitness profiles to try and get motivated but they all just make me depressed and want to drink in my sorrow...
183,I don't get why this generation has turned being sad & depressed into a Chanel bag. Like chill.
184,"In depressed patients,worsening of depression, including risk of suicide,may occur.   AT&T COVERS97% OF ALL Americans.  is treasure."
185,i always get really depressed after being happy because i get really anxious that i talked too much and pissed everyone off and well uh
186,it is almost 2017 and i am still a sad depressed piece of shit wtf
187,"Almost New Year's Eve... I'll probably spend it alone, locked in my bedroom whilst listening to music. #HAPPYNEWYEAR #depressed"
188,me: haha man i sound really depressed all of the time brain: maybe...its because...you have depression...... me: :0
189,Listening to sad music and sewing because I'm a depressed Grandma
190,Surrounded by bimbos he becomes angry and depressed because he is alone.
191,As their to afraid to go to the GP until their clinically depressed due to stigma & labelling!
192,"Assassin's Creed brilliantly captures the futility of the Assassin/Templar conflict, in that I felt hopeless and depressed at the end."
193,Women attempt suicide about 3 times more often may become depressed and march away from their groups to die.
194,I feel depressed and alone inside ily❤️😍😘😭
195,I feel sad and depressed
196,"Yeah, that's a dangerous lie, encouraging depressed people to go off their medication for tree nuts..."
197,"sad,n unhappy n stressed n depressed n unloved. I need yaaa🌝"
198,depressed sad
199,"sad, dead, hopeless and depressed 🙃"
200,"sad, mad, depressed, happy, excited, and I don't even know why I feel this way"
201,sad depressed in love I wanna kms sometimes
202,"terrible, depressed anxious"
203,"sad, depressed, not myself"
204,"Being sad is natural but being depressed and suicidal,i don't want that anymore. Shoo"
205,"Can people stop hmu whenever they're depressed, bored or lonely."
206,"I havent been on youtube in a while cuz ive been hella depressed, anxious, and going thru things lately. I gotta play catchup soon."
207,"Jobless, hopeless, worthless, talentless, broken, depressed, pissed off, lonely, anxious, fifth wheel, failure... #Me"
208,All these ppl around me but I feel soo alone so depressed
209,i'm so used to being sad & depressed that i don't even know what it is to be happy anymore😕
210,Could it be that not being depressed and anxious constantly actually leaves me with energy to get things done?
211,*Currently listening to country music and staring at the clouds because I'm depressed and lonely in southern Maryland*
212,In the last few months I felt a little bit alone and sometimes depressed but I'm hoping it will be better...
213,"It's really draining when you've been chronically depressed for so long that you no longer feel the sadness, you just feel tired."
214,anytime i see some form of animal abuse i get suuuper defeated and depressed/angry
215,"🎶Dont worry girl, I only eat poutine when Im depressed/ woops, didnt mean to drop poutine on your dress/first dates always seem to be a mess"
216,Wtf is 10hr of alone time facing 4 walls with insomnia. Its the same as locking myself in my room all day. At this rate ill be depressed
217,I just found a bunch of my old scripts from high school and now I'm depressed and miss acting. I did not plan in time to be sad today!! 😡
218,Seriously how rotten are you to turn our shining Henry to such a sad and depressed man . Hate you Sm >< @SMTOWNGLOBAL #JusticeForHenryLau
219,"Penguins have been known to commit suicide when depressed, they simply walk away from their colonies to die."
220,i'm afraid of tomorrow and the day after tomorrow..never liked new year's eve...it makes me feel depressed
221,"If you're feeling down and out and depressed, remember that you're not alone. National Suicide Prevention Lifeline: 1-800-273-8255"
222,day 5 without megan: im lonely and depressed
223,"Helped my best friend with anxiety attack, was depressed fell down got back up every time, cried, laughed, blushed"
224,"AMEN! Don't know about you, but I find it hard to be productive when I'm depressed/anxious, worried about paying bills"
225,that is sad and depressed and so horrible to hear
226,i'm back on my depressed sad girl shit
227,💔💔It's Friday night and I'm staying home alone and laying in bed watching DVD's all night. I have never been more depressed in my life.💔💔
228,ive been depressed ever since I heard akon - lonely at 9 yo
229,Not sure if I should be happy for 2017... Feeling depressed and sad about it and how time is going by so fast and how things can get worse
230,"when normies are like ""you're depressed ? yeah winter does that to people"" lmao don't worry i was hella depressed all summer too"
231,Oh look - There's one of those -I'm depressed so lets commit suicide Cars.
232,Theres altogether too many sad pet donation commercials on tv this season...im over here feeling depressed now.
233,dis nigga  --> @depression82 <-- is depressed
234,"My brain chose depression today. Okay cool, I'll be depressed today :)"
235,"A lot of people resign to the belief that being depressed, miserable and lonely is just a part of wintertime"
236,"that man is really sad, depressed & possibly having a nervous breakdown. Scary guy. @HuffPostPol"
237,I write the best songs when I am sad or depressed.
238,i wanna do a cover of smth upbeat bc i always do sad emo songs... like we get it im depressed
239,I'll be ending the worst year of my life the same way I spent the year- depressed and alone. Please be better to me 2017 😞
240,Am i the only one who doesn't overthink or have anxiety or depressed?!
241,I think the saddest people try their best to make people happy because they know what it’s like to feel absolutely worthless and depressed.
242,U might think someone's reason for depression is wack or not that deep but boyyyyyy brush hardest thing to explain is why ur depressed
243,I was sad lost depressed this year lost my sister friend lost someone who I thought would be around forever
244,"going to release a cookbook for depressed vegans, featuring my fav depression meals: piece of toast sleep spoonful of hummus two stale oreos"
245,"""he follows me around and thinks im depressed but im only upset because he won't leave me alone"""
246,I can't get over all these things I lost or I couldn't enjoy them because of my depression. I can't forgive myself for being depressed.
247,i'm depressed i'm allowed to waste my money on makeup until i find someone who wants me leave me alone mom
248,"@elliet1908 2 points. One. Wrong soap and 2 very cruel, will you say the same thing to a friend who may be depressed considering suicide"
249,i'm so depressed rn i'm gonna go listen to sad songs that remind me of morrilla
250,Good grief #Eastenders is excelling itself tonight! A right barrel of laughs!!!wasn't depressed before I watched this - I am now !!!!!
251,I'm not sad. I'm depressed.
252,I'm afraid to bring up (my side of) relationship issues with my depressed partner.
253,"11- to 17-year olds who use marijuana weekly are more likely to consider suicide, be depressed, anxious and develop related psychosis."
254,"[BOT] When Amber feel depressed, she does listen to sad song,dance and sing."
255,Studies show that people who are lonely and/or depressed are more likely to sleep with multiple pillows.
256,I'd call this an achievement. I really struggled breastfeeding and people like you were life savers. I was so depressed.
257,"we treat Black kids like shit, we talk to them like shit and we wonder why they grow up to be depressed, anxious and angry. blame yourself."
258,"It seems I will read anything for Jonathan Lowell Spencer ""Johnny"" Storm being lonely and depressed"
259,"Keep being happy and it will bring down those who are inferior and depressed bc they are incapable, hopeless and helpless."
260,"Today's word is morose. It's what I feel: exhausted, anxious, depressed, pain. House sharer is resentful like I can help this. FML"
261,He's been depressed ALL week. And I can't get him to be happy and it's making me sad to even leave him alone
262,omg i hope henry dont do anything dangerous because he sound depressed!
263,wow. it's so sad seeing how depressed the residents are at nursing homes☹️
264,"""If you are depressed, you're living in the past. If you are anxious, you are living in the future."" #LaoTzu"
265,"I finished greys anatomy. So sad, in a depressed state, not sure what to do next."
266,I just visited St Petersburg in August... It was so sad to see such a beautiful city so depressed/oppressed.
267,I hate to see people sad or depressed because I know the pain
268,"i don't expect people to feel sorry for me, cause i'm depressed or sad all the time ... maybe just not treat me like shit cause they can 😪😐"
269,Bored lonely depressed
270,"On TV: ""I was depressed, I had thoughts of suicide."" Me: ""you and me both pal"" My MOTHER: ""shut the fuck up"""
271,I'm looking for a word that means feeling happy and sad and depressed at the same time. Help? In czech or english.
272,So you can be sad and depressed all day again? Pass.
273,What's wrong with people - mist & fog are beautiful. Go for a walk in it. The weatherman was so depressed I feared for his wellbeing.
274,If I get sad or depressed I just put my Rollie in the sun light or any light for that matter.. them VVS diamonds dancing is like MDMA 🙌🏾🙌🏾😂😂
275,Me at 16: I may be depressed and lonely but at least I can always look forward to drawing and improving Me at 22: that's a funny joke kiddo
276,Today was weird. I felt really anxious and depressed and just wanted to go home.
277,"""Page 366 of 366""  It was an abstract of emotions. I can recall the times I'm lost, depressed, hurt, disappointed, alone, hopeless. . ."
278,"The stress of the gambling for so long would make me want to be left alone as I'd either be up looking forward to tomorrow, or depressed!"
279,"Anyways, this is all to say that I've realized I'm no longer anxious (no more caffeine) nor am I seriously depressed! Yay!"
280,"My go to ""Gonna go listen to this band and be sad"" is The Cure. That's why there's now a depressed adult in the cereal isle of a Safeway."
281,i'm not exactly sad or depressed (as much as i sound like i am i'm not lol) but imjust fucking uncomfortable inside out
282,It's troubling to me that many supposedly Christian elderly people are lonely and depressed in their attitude toward death. No sign of joy.
283,has oli named the group chat 'sad lonely new year' to make me more depressed or?
284,does it feel good? making other ppl feel depressed and sad? bc of what you said? would it make you a fucking saint?
285,"Having depressed everybody by reposting my sad dog poem from last year, I feel I should write a new happy dog poem! Watch this space @pupaid"
286,"Y'all mfs be..sad,glad,mad,clad,bad, forever depressed 😩"
287,@SMTOWNGLOBAL why are you making my boy @henrylau89 sad and depressed? Who are you to hurt him🔥🔥🔥🔥🔥 #JusticeForHenryLau
288,My life lately... anxiety? drink... depressed? drink... happy? drink... school night? drink ... no alcohol? Die
289,"Extra depressed today, and dangerously close to subscribing to the Eaglemoss Trek Ship Partworks."
290,life hack: depressed? Tidy up your room. Won't cure your depression but at least you can cry about how no one loves you on a clean floor.
291,"Sometimes, the things happening around me and with me, make me so sad and depressed that I really want to leave everything and move far....."
292,Ticking bomb. And I'm not one. Because bipolarity doesn't make me agressive. It makes me depressed. Or over energetic. But i' not dangerous
293,Not every nihilist is depressed but everyone with depression is a nihilist
294,"nurse-""mental health?"" me-""depression"" nurse-""any drinking, smoking, drugs?"" me-""nope"" nurse-""hunny that's why you're depressed!!"" 😂😂😂"
295,"It's been ~4hrs back in Male', already panicked & depressed."
296,Like atm.. I'm sad and depressed but the second I saw a split of a second of an anime I'm like good
297,"little sad sometimes. Because being sad is a struggle, but being depressed is a whole other war."
298,after all those years of being depressed my dad still thinks it's just a phase and my sadness will be gone in a few days like no it won't
299,deeply unhappy or depressed and likely to commit suicide
300,"it's currently time limited (90 min) my worry is in Econ depressed downtowns, lack of demand doesn't warrant fees and cost of"
301,And there are people who struggle with then every day. So don't demean them by immediately labelling yourself as depressed when you get a
302,"It's a battle that stays with you for the rest of your life, whether you like it or not. Being sad and being depressed are two very"
303,even more depressed and anxious
304,Really gotta find someone that enjoy talking to me .. cause I swear to god I be depressed alone all the time 😑
305,Well actually I feel depressed after watching the movie...... The story was tragic
306,"sad, depressed, not well dressed."
307,"guyzzz, suggest me a best treatment for depression ! - #Appatakkar — feeling depressed"
308,Apparently retail therapy is one way to combat holiday depression. Or I just spent a bunch of money and will still be depressed. Let's see!
309,"@SardonicTart also don't be afraid, sad or depressed. Just stop being those things."
310,"It’s people that don’t do ANYTHING and expect everything that are poor, depressed, and lonely."
311,tbh anything than saying 'I'm so OCD' unless you HAVE OCD is better. It's like saying 'i feel depressed' when you're sad-
312,RT sadistry: get you a boy who makes ur life fun so you don't have to rt all these depressed tweets
313,i guess i just like to eat when i'm sad that's why i'm getting fatter by being depressed
314,"Me too, Im not even joking - ever since Debbie died I've been so depressed... It hurts- how sad I am..."
315,It's the time of year where many are fragile as I saw in the ER. Feeling depressed lost alone. Be kind to others. You may save a life.
316,"kourtney: so i just hung up with rob and i really think we need to do something, i've never seen him this depressed kim: that's sooo sad"
317,"I can get sad, I can get frustrated, I can get scared, but I never get depressed - because there's joy in my life. #ALDUBEndOf2016"
318,It's sad and sickening. I see no end in sight. The Human Race makes me literally sick on my stomach and deeply depressed😢
319,That's a mix of anxiety and depression but I'm not depressed just hella anxious
320,I'm so sad because I was really looking forward to it... 😭 this whole drama just make me depressed
321,i'm so anxious and depressed i need to see bewbz?  dudes are really reaching.
322,i feel alone and depressed
323,I'm already socially awkward as it is. I get depressed and anxious just as any other human.
324,"""I'm having a hard time right now, I'm very depressed, send me pictures. Why aren't you answering? I have anxiety this isn't good for me"""
325,definitely anxious thoughts. I get those in a depressed cycle. I try to limit my complaining to 10 mins/day if possible.
326,depressed anxious and a prisoner in my own home nice
327,"people have  committed suicide, and /or taken drugs /alcohol become depressed even after counselling"
328,My OC vs RT on here seems to be directly proportional to how depressed/hopeless I'm feeling. (Not a cry for help just an observation)
329,"Don't worry, when your depressed after the L tonight, tomorrow we we go take care of something you couldnt-#Clemson #GoBucks"
330,i have to ask. are you feeling troubled or depressed? have you been having thoughts of suicide?
331,No more anxiety attacks Less depressed  =  2017's gonna start off good.
332,"pal don't worry i've been trying my hardest not to get depressed about not getting the card i wanted in banyaro so, We're United"
333,one of the cool features of this war of mine is robbing old helpless people and becoming depressed by it
334,2016 gave us such bangers but we're left with trump so I'm really torn and depressed
335,"If you ever feel depressed, lonely, sad,miserable, negative ..seek God before you even think of spreading lies with negativity ruthlessly"
336,someone please tell me why y'all like to act fake depressed and shit. acting like y'all got anxiety and shit 😂 ion see what's cute bout it
337,But then my characters got depressed and refused to move and they literally died from depression I...
338,but let me tell you how sad and depressed im gonna feel once the series ends ILL FEEL SO EMPTY AND IN PAIN DO YOU UNDERSTAND ME
339,But that message made Karl even more depressed than what he already is and it resulted him to commit suicide. And wow I didn't aSK FOR ANY
340,deadass miss uni cause at least when i was stressedt i wasn't depressed and had smth else to focus on instead of how utterly alone i feel
341,#2016lessonslearned Surround yourself with positive energy! Constant negativity will have u sad n depressed and there's nothing wrong w/u !!
342,idk why nowadays to confess things like being depressed and lonely and sad is gold like chill thats not even cool
